question,expected_document
"What is personal data?",32016R0679_EN
"What rights do data subjects have?",32016R0679_EN
"What is money laundering?",CELEX_32015L0849_EN_TXT
"What are customer due diligence obligations?",CELEX_32015L0849_EN_TXT
"What is DORA regulation?",32022R2554_EN
"What are ICT risks?",32022R2554_EN
"What is GDPR?",32016R0679_EN
"What is biometric data?",32016R0679_EN
"What is suspicious transaction reporting?",CELEX_32015L0849_EN_TXT
"What are digital operational resilience requirements?",32022R2554_EN
